Shai Gilgeous-Alexander,22,OKC,SG,35,35,33.7,8.2,16.1,0.508,2,4.9,0.418,6.2,11.3,0.547,5.3,6.5,0.808,0.5,4.2,4.7,5.9,0.8,0.7,3,23.7,gilgesh01
Nikola Vučević,30,2TM,C,70,70,33.5,9.5,19.9,0.477,2.5,6.3,0.4,7,13.7,0.513,1.9,2.2,0.84,2.1,9.6,11.7,3.8,0.9,0.7,1.8,23.4,vucevni01
Nikola Vučević,30,ORL,C,44,44,34.1,9.9,20.6,0.48,2.7,6.5,0.406,7.3,14.1,0.515,2.1,2.5,0.827,2,9.8,11.8,3.8,1,0.6,1.9,24.5,vucevni01
Nikola Vučević,30,CHI,C,26,26,32.6,8.8,18.8,0.471,2.3,5.8,0.388,6.6,12.9,0.509,1.5,1.8,0.87,2.3,9.3,11.5,3.9,0.9,0.8,1.7,21.5,vucevni01
Paul George,30,LAC,SF,54,54,33.7,8.2,17.6,0.467,3.2,7.7,0.411,5.1,9.9,0.51,3.7,4.2,0.868,0.8,5.8,6.6,5.2,1.1,0.4,3.3,23.3,georgpa01
CJ McCollum,29,POR,SG,47,47,34,8.6,18.8,0.458,3.6,8.9,0.402,5,9.9,0.509,2.3,2.8,0.812,0.6,3.3,3.9,4.7,0.9,0.4,1.4,23.1,mccolcj01
Jerami Grant,26,DET,SF,54,54,33.9,7.4,17.3,0.429,2.1,6.1,0.35,5.3,11.2,0.473,5.4,6.4,0.845,0.6,4,4.6,2.8,0.6,1.1,2,22.3,grantje01
Russell Westbrook,32,WAS,PG,65,65,36.4,8.4,19,0.439,1.3,4.2,0.315,7,14.8,0.475,4.2,6.4,0.656,1.7,9.9,11.5,11.7,1.4,0.4,4.8,22.2,westbru01
Anthony Davis,27,LAL,PF,36,36,32.3,8.4,17,0.491,0.7,2.8,0.26,7.6,14.3,0.536,4.4,5.9,0.738,1.7,6.2,7.9,3.1,1.3,1.6,2.1,21.8,davisan02
DeMar DeRozan,31,SAS,PF,61,61,33.7,7.5,15.1,0.495,0.3,1.2,0.257,7.1,13.9,0.515,6.3,7.2,0.88,0.7,3.6,4.2,6.9,0.9,0.2,2,21.6,derozde01
Jimmy Butler,31,MIA,SF,52,52,33.6,7,14.2,0.497,0.5,2,0.245,6.6,12.2,0.538,6.9,8,0.863,1.8,5.1,6.9,7.1,2.1,0.3,2.1,21.5,butleji01
Pascal Siakam,26,TOR,PF,56,56,35.8,7.8,17.2,0.455,1.3,4.4,0.297,6.5,12.8,0.509,4.4,5.4,0.827,1.7,5.5,7.2,4.5,1.1,0.7,2.3,21.4,siakapa01
Malcolm Brogdon,28,IND,PG,56,56,34.5,7.9,17.5,0.453,2.6,6.7,0.388,5.3,10.8,0.493,2.7,3.2,0.864,1,4.2,5.3,5.9,0.9,0.3,2.1,21.2,brogdma01
Jamal Murray,23,DEN,PG,48,48,35.5,7.9,16.5,0.477,2.7,6.6,0.408,5.2,9.9,0.523,2.8,3.2,0.869,0.8,3.3,4,4.8,1.3,0.3,2.3,21.2,murraja01
Christian Wood,25,HOU,C,41,41,32.3,8,15.6,0.514,1.9,5,0.374,6.1,10.6,0.581,3,4.8,0.631,1.9,7.8,9.6,1.7,0.8,1.2,2,21,woodch01
John Wall,30,HOU,PG,40,40,32.2,7.3,18.2,0.404,2,6.2,0.317,5.4,11.9,0.449,4,5.3,0.749,0.4,2.8,3.2,6.9,1.1,0.8,3.5,20.6,walljo01
Khris Middleton,29,MIL,SF,68,68,33.4,7.5,15.8,0.476,2.2,5.4,0.414,5.3,10.4,0.508,3.1,3.5,0.898,0.8,5.2,6,5.4,1.1,0.1,2.6,20.4,middlkh01
Terry Rozier,26,CHO,SG,69,69,34.5,7.4,16.4,0.45,3.2,8.3,0.389,4.2,8.2,0.512,2.4,2.9,0.817,0.7,3.7,4.4,4.2,1.3,0.4,1.9,20.4,roziete01
Domantas Sabonis,24,IND,PF,62,62,36,7.8,14.6,0.535,0.8,2.6,0.321,7,12,0.582,3.9,5.3,0.732,2.4,9.5,12,6.7,1.2,0.5,3.4,20.3,sabondo01
Caris LeVert,26,2TM,SG,47,39,31.6,7.6,17.3,0.441,1.8,5.5,0.326,5.9,11.8,0.495,3.1,3.8,0.811,0.7,3.9,4.6,5.2,1.4,0.6,2.2,20.2,leverca01
Caris LeVert,26,BRK,SG,12,4,27.8,7.3,16.7,0.435,1.8,5.3,0.349,5.4,11.4,0.474,2.2,2.8,0.765,0.8,3.5,4.3,6,1.1,0.5,2.2,18.5,leverca01
Caris LeVert,26,IND,SG,35,35,32.9,7.8,17.5,0.443,1.8,5.6,0.318,6,12,0.501,3.4,4.2,0.822,0.7,4,4.6,4.9,1.5,0.7,2.2,20.7,leverca01
Kristaps Porziņģis,25,DAL,C,43,43,30.9,7.6,15.9,0.476,2.3,6,0.376,5.3,9.9,0.536,2.7,3.2,0.855,1.9,7,8.9,1.6,0.5,1.3,1.2,20.1,porzikr01
Victor Oladipo,28,3TM,SG,33,33,32.7,7.1,17.5,0.408,2.4,7.2,0.326,4.8,10.2,0.466,3.2,4.2,0.754,0.4,4.5,4.8,4.6,1.4,0.4,2.5,19.8,oladivi01
Victor Oladipo,28,IND,SG,9,9,33.3,7.1,16.9,0.421,2.8,7.7,0.362,4.3,9.2,0.47,3,4.1,0.73,0.1,5.6,5.7,4.2,1.7,0.2,2,20,oladivi01
Victor Oladipo,28,HOU,SG,20,20,33.5,7.8,19.1,0.407,2.5,7.7,0.32,5.3,11.4,0.465,3.3,4.2,0.783,0.4,4.4,4.8,5,1.2,0.5,2.6,21.2,oladivi01
Victor Oladipo,28,MIA,SG,4,4,27.8,4,10.8,0.372,1,4.3,0.235,3,6.5,0.462,3,4.5,0.667,0.8,2.8,3.5,3.5,1.8,0.5,3.5,12,oladivi01
Malik Beasley,24,MIN,SG,37,36,32.8,7.1,16.2,0.44,3.5,8.7,0.399,3.7,7.5,0.487,1.8,2.2,0.85,0.8,3.6,4.4,2.4,0.8,0.2,1.6,19.6,beaslma01
Gordon Hayward,30,CHO,SF,44,44,34,7.1,15,0.473,1.9,4.7,0.415,5.1,10.3,0.499,3.5,4.2,0.843,0.8,5,5.9,4.1,1.2,0.3,2.1,19.6,haywago01
Fred VanVleet,26,TOR,SG,52,52,36.5,6.5,16.7,0.389,3.3,9.2,0.366,3.2,7.6,0.416,3.3,3.7,0.885,0.6,3.6,4.2,6.3,1.7,0.7,1.8,19.6,vanvlfr01
Tobias Harris,28,PHI,PF,62,62,32.5,7.6,14.9,0.512,1.3,3.4,0.394,6.3,11.5,0.546,2.9,3.3,0.892,1,5.8,6.8,3.5,0.9,0.8,1.7,19.5,harrito02
Anthony Edwards,19,MIN,SG,72,55,32.1,7,16.8,0.417,2.4,7.2,0.329,4.6,9.6,0.483,2.9,3.8,0.776,0.8,3.8,4.7,2.9,1.1,0.5,2.2,19.3,edwaran01
Kemba Walker,30,BOS,PG,43,43,31.8,6.6,15.7,0.42,3,8.2,0.36,3.7,7.5,0.486,3.1,3.5,0.899,0.4,3.6,4,4.9,1.1,0.3,2,19.3,walkeke02
Ja Morant,21,MEM,PG,63,63,32.6,6.8,15.2,0.449,1.2,3.8,0.303,5.7,11.4,0.499,4.3,5.9,0.728,0.9,3.1,4,7.4,0.9,0.2,3.2,19.1,moranja01
Michael Porter Jr.,22,DEN,SF,61,54,31.3,7.3,13.4,0.542,2.8,6.3,0.445,4.5,7.1,0.628,1.7,2.2,0.791,1.5,5.8,7.3,1.1,0.7,0.9,1.3,19,portemi01
D'Angelo Russell,24,MIN,PG,42,26,28.5,6.7,15.5,0.431,2.9,7.4,0.387,3.8,8.1,0.471,2.7,3.5,0.765,0.4,2.3,2.6,5.8,1.1,0.4,2.7,19,russeda01
Bam Adebayo,23,MIA,C,64,64,33.5,7.1,12.5,0.57,0,0.1,0.25,7.1,12.4,0.573,4.4,5.5,0.799,2.2,6.7,9,5.4,1.2,1,2.6,18.7,adebaba01
Norman Powell,27,2TM,SF,69,58,32,6.3,13.3,0.477,2.5,6,0.411,3.9,7.3,0.532,3.4,3.9,0.871,0.6,2.5,3.1,1.9,1.2,0.3,1.7,18.6,powelno01
Norman Powell,27,TOR,SG,42,31,30.4,6.7,13.5,0.498,2.8,6.4,0.439,3.9,7.1,0.552,3.4,3.9,0.865,0.5,2.5,3,1.8,1.1,0.2,1.8,19.6,powelno01
Norman Powell,27,POR,SF,27,27,34.4,5.8,13,0.443,2,5.4,0.361,3.8,7.6,0.502,3.5,4,0.88,0.9,2.4,3.3,1.9,1.3,0.4,1.6,17,powelno01
Andrew Wiggins,25,GSW,PF,71,71,33.3,7.1,14.9,0.477,2,5.2,0.38,5.1,9.7,0.529,2.4,3.4,0.714,1.2,3.7,4.9,2.4,0.9,1,1.8,18.6,wiggian01
Jordan Clarkson,28,UTA,SG,68,1,26.7,6.7,15.8,0.425,3.1,8.8,0.347,3.7,7,0.523,1.9,2.1,0.896,0.7,3.3,4,2.5,0.9,0.1,1.7,18.4,clarkjo01
Eric Gordon,32,HOU,SG,27,13,29.2,5.9,13.6,0.433,2.6,7.8,0.329,3.3,5.8,0.573,3.5,4.2,0.825,0.3,1.9,2.1,2.6,0.5,0.5,1.9,17.8,gordoer01
Jrue Holiday,30,MIL,PG,59,56,32.3,7,13.9,0.503,1.9,4.8,0.392,5.1,9.2,0.561,1.8,2.3,0.787,1.2,3.3,4.5,6.1,1.6,0.6,2.2,17.7,holidjr01
RJ Barrett,20,NYK,SG,72,72,34.9,6.5,14.7,0.441,1.7,4.3,0.401,4.8,10.4,0.457,2.9,3.8,0.746,0.9,4.8,5.8,3,0.7,0.3,1.9,17.6,barrerj01
John Collins,23,ATL,PF,63,63,29.3,6.8,12.2,0.556,1.3,3.3,0.399,5.5,8.9,0.615,2.7,3.2,0.833,1.9,5.5,7.4,1.2,0.5,1,1.3,17.6,collijo01
Darius Garland,21,CLE,PG,54,50,33.1,6.7,14.9,0.451,1.9,4.9,0.395,4.8,9.9,0.479,2.1,2.4,0.848,0.4,2,2.4,6.1,1.2,0.1,3,17.4,garlada01
Dillon Brooks,25,MEM,SF,67,67,29.8,6.4,15.4,0.419,1.9,5.6,0.344,4.5,9.8,0.461,2.4,2.9,0.815,0.8,2.1,2.9,2.3,1.2,0.4,1.8,17.2,brookdi01
Kyle Lowry,34,TOR,PG,46,46,34.8,5.7,13,0.436,2.8,7.2,0.396,2.8,5.8,0.487,3,3.5,0.875,0.8,4.6,5.4,7.3,1,0.3,2.7,17.2,lowryky01
Evan Fournier,28,2TM,SF,42,36,30,5.9,12.9,0.457,2.8,6.7,0.413,3.1,6.1,0.504,2.6,3.3,0.788,0.2,2.8,3,3.4,1.1,0.5,1.7,17.1,fournev01
Evan Fournier,28,ORL,SF,26,26,30.3,6.5,14.2,0.461,2.8,7.2,0.388,3.7,7,0.536,3.8,4.7,0.797,0.2,2.7,2.9,3.7,1,0.3,2.1,19.7,fournev01
Evan Fournier,28,BOS,SF,16,10,29.5,4.8,10.8,0.448,2.8,5.9,0.463,2.1,4.8,0.429,0.6,0.9,0.714,0.3,3,3.3,3.1,1.3,0.6,1.2,13,fournev01
Jonas Valančiūnas,28,MEM,C,62,61,28.3,7.1,12,0.592,0.3,0.9,0.368,6.8,11.1,0.611,2.5,3.3,0.773,4.1,8.4,12.5,1.8,0.6,0.9,1.6,17.1,valanjo01
