Klay Thompson,33,GSW,SF,77,63,29.7,6.4,14.7,0.432,3.5,9,0.387,2.9,5.7,0.503,1.6,1.8,0.927,0.5,2.8,3.3,2.3,0.6,0.5,1.5,17.9,thompkl01
Jordan Poole,24,WAS,SG,78,66,30.1,6.3,15.2,0.413,2.4,7.2,0.326,3.9,8,0.492,2.5,2.8,0.877,0.4,2.3,2.7,4.4,1.1,0.3,2.4,17.4,poolejo01
Fred VanVleet,29,HOU,PG,73,73,36.8,5.8,13.9,0.416,3.1,8,0.387,2.7,5.9,0.454,2.7,3.1,0.86,0.5,3.4,3.8,8.1,1.4,0.8,1.7,17.4,vanvlfr01
Brandon Miller,21,CHO,SF,74,68,32.2,6.4,14.6,0.44,2.5,6.7,0.373,3.9,8,0.495,1.9,2.3,0.827,0.8,3.4,4.3,2.4,0.9,0.6,1.8,17.3,millebr02
Tobias Harris,31,PHI,PF,70,70,33.8,6.6,13.6,0.487,1.3,3.7,0.353,5.3,9.9,0.537,2.7,3,0.878,1.1,5.3,6.5,3.1,1,0.7,1.3,17.2,harrito02
Jordan Clarkson,31,UTA,SG,55,19,30.6,6.1,14.8,0.413,1.7,5.6,0.294,4.5,9.2,0.485,3.2,3.7,0.881,0.9,2.5,3.4,5,0.6,0.1,2.7,17.1,clarkjo01
Myles Turner,27,IND,C,77,77,27,6.2,11.8,0.524,1.5,4.2,0.358,4.7,7.6,0.615,3.2,4.1,0.773,1.5,5.5,6.9,1.3,0.5,1.9,1.4,17.1,turnemy01
Immanuel Quickley,24,2TM,SG,68,38,29.2,5.7,13.1,0.434,2.5,6.4,0.395,3.2,6.8,0.471,3.1,3.6,0.853,0.3,3.6,3.8,4.9,0.7,0.1,1.5,17,quickim01
Immanuel Quickley,24,NYK,SG,30,0,24,5.1,11.2,0.454,2.1,5.4,0.395,2.9,5.8,0.509,2.7,3.1,0.872,0.2,2.4,2.6,2.5,0.5,0.1,1,15,quickim01
Immanuel Quickley,24,TOR,PG,38,38,33.3,6.2,14.7,0.422,2.8,7.1,0.395,3.4,7.6,0.448,3.3,4,0.841,0.3,4.5,4.8,6.8,0.9,0.2,1.8,18.6,quickim01
Bogdan Bogdanović,31,ATL,SG,79,33,30.4,6,13.9,0.428,3,8.1,0.374,2.9,5.8,0.503,1.9,2.1,0.921,0.7,2.8,3.4,3.1,1.2,0.3,1.4,16.9,bogdabo01
Deandre Ayton,25,POR,C,55,55,32.4,7.8,13.6,0.57,0,0.2,0.1,7.7,13.4,0.576,1.2,1.4,0.823,3.2,7.9,11.1,1.6,1,0.8,1.8,16.7,aytonde01
Michael Porter Jr.,25,DEN,SF,81,81,31.7,6.4,13.3,0.484,2.7,6.8,0.397,3.7,6.5,0.575,1.1,1.4,0.836,1.3,5.7,7,1.5,0.5,0.7,1.1,16.7,portemi01
James Harden,34,LAC,PG,72,72,34.3,4.9,11.4,0.428,2.6,6.8,0.381,2.3,4.6,0.497,4.2,4.8,0.878,0.5,4.7,5.1,8.5,1.1,0.8,2.6,16.6,hardeja01
Jarrett Allen,25,CLE,C,77,77,31.7,6.7,10.6,0.634,0,0.1,0,6.7,10.6,0.638,3,4.1,0.742,3.2,7.4,10.5,2.7,0.7,1.1,1.6,16.5,allenja01
Chet Holmgren,21,OKC,C,82,82,29.4,6.2,11.6,0.53,1.6,4.3,0.37,4.6,7.4,0.623,2.7,3.4,0.793,1.6,6.3,7.9,2.4,0.6,2.3,1.6,16.5,holmgch01
Jonathan Kuminga,21,GSW,PF,74,46,26.3,6.2,11.6,0.529,0.7,2.2,0.321,5.4,9.4,0.578,3,4,0.746,1.2,3.6,4.8,2.2,0.7,0.5,1.6,16.1,kuminjo01
Jalen Johnson,22,ATL,SF,56,52,33.7,6.4,12.5,0.511,1.3,3.6,0.355,5.1,9,0.574,1.9,2.6,0.728,1.3,7.4,8.7,3.6,1.2,0.8,1.8,16,johnsja05
Austin Reaves,25,LAL,SG,82,57,32.1,5.6,11.5,0.486,1.9,5.1,0.367,3.7,6.3,0.583,2.8,3.3,0.853,0.7,3.6,4.3,5.5,0.8,0.3,2.1,15.9,reaveau01
Shaedon Sharpe,20,POR,SG,32,25,33.1,5.5,13.6,0.406,1.9,5.6,0.333,3.6,7.9,0.457,3.1,3.7,0.824,1.3,3.7,5,2.9,0.9,0.4,2.3,15.9,sharpsh01
Malcolm Brogdon,31,POR,PG,39,25,28.7,5.6,12.7,0.44,2.1,5.1,0.412,3.5,7.6,0.458,2.4,3,0.819,0.7,3.1,3.8,5.5,0.7,0.2,1.5,15.7,brogdma01
Keldon Johnson,24,SAS,SF,69,27,29.5,5.7,12.5,0.454,1.8,5.3,0.346,3.8,7.2,0.533,2.5,3.2,0.792,1.4,4.1,5.5,2.8,0.7,0.3,1.4,15.7,johnske04
Evan Mobley,22,CLE,PF,50,50,30.6,6.4,11,0.58,0.4,1.2,0.373,6,9.9,0.604,2.5,3.4,0.719,2.2,7.1,9.4,3.2,0.9,1.4,1.8,15.7,mobleev01
De'Andre Hunter,26,ATL,SF,57,37,29.5,5.3,11.6,0.459,2.1,5.3,0.385,3.3,6.3,0.521,2.9,3.4,0.847,0.5,3.4,3.9,1.5,0.7,0.3,1.5,15.6,huntede01
Donte DiVincenzo,27,NYK,SG,81,63,29.1,5.5,12.4,0.443,3.5,8.7,0.401,2,3.7,0.542,1.1,1.4,0.754,0.8,2.9,3.7,2.7,1.3,0.4,1.4,15.5,divindo01
Jaden Ivey,21,DET,SG,77,61,28.8,5.4,12.6,0.429,1.6,4.8,0.336,3.8,7.8,0.485,2.9,3.9,0.749,1.1,2.3,3.4,3.8,0.7,0.5,2.5,15.4,iveyja01
Malik Monk,25,SAC,SG,72,0,26,5.5,12.4,0.443,2.1,5.9,0.35,3.4,6.5,0.528,2.4,2.8,0.829,0.4,2.6,2.9,5.1,0.6,0.5,2.1,15.4,monkma01
Kelly Oubre Jr.,28,PHI,SF,68,52,30.2,5.7,12.9,0.441,1.5,4.8,0.311,4.2,8.1,0.517,2.6,3.4,0.75,1.4,3.6,5,1.5,1.1,0.7,1.3,15.4,oubreke01
Bojan Bogdanović,34,2TM,PF,57,27,25.9,5.4,11.9,0.454,2.3,5.9,0.398,3.1,6.1,0.507,2.1,2.6,0.785,0.4,2.3,2.7,1.7,0.5,0.1,1.8,15.2,bogdabo02
Bojan Bogdanović,34,DET,PF,28,27,32.9,7.1,15.2,0.468,3.1,7.4,0.415,4,7.8,0.518,2.9,3.7,0.779,0.5,2.9,3.4,2.5,0.8,0.1,2.3,20.2,bogdabo02
Bojan Bogdanović,34,NYK,SF,29,0,19.2,3.8,8.8,0.43,1.6,4.4,0.37,2.2,4.4,0.488,1.2,1.6,0.8,0.3,1.7,2,0.9,0.2,0,1.3,10.4,bogdabo02
Keegan Murray,23,SAC,SF,77,77,33.6,5.8,12.7,0.454,2.4,6.6,0.358,3.4,6,0.56,1.3,1.6,0.831,1.4,4.1,5.5,1.7,1,0.8,0.8,15.2,murrake02
Derrick White,29,BOS,SG,73,73,32.6,5.3,11.5,0.461,2.7,6.8,0.396,2.6,4.7,0.555,1.9,2.1,0.901,0.7,3.5,4.2,5.2,1,1.2,1.5,15.2,whitede01
John Collins,26,UTA,PF,68,66,28,5.8,11,0.532,1.3,3.4,0.371,4.6,7.6,0.605,2.2,2.7,0.795,2.3,6.1,8.5,1.1,0.6,0.9,1.4,15.1,collijo01
Khris Middleton,32,MIL,SF,55,55,27,5.8,11.7,0.493,1.7,4.5,0.381,4.1,7.2,0.563,1.8,2.2,0.833,0.7,3.9,4.7,5.3,0.9,0.3,2.3,15.1,middlkh01
Trey Murphy III,23,NOP,SF,57,23,29.6,4.8,10.9,0.443,3,7.8,0.38,1.9,3.1,0.602,2.2,2.6,0.815,0.7,4.2,4.9,2.2,0.9,0.5,0.6,14.8,murphtr02
OG Anunoby,26,2TM,SF,50,50,34,5.6,11.5,0.489,2,5.3,0.382,3.6,6.2,0.581,1.3,1.8,0.753,0.9,3.2,4.2,2.1,1.4,0.7,1.6,14.7,anunoog01
OG Anunoby,26,TOR,SF,27,27,33.3,5.8,11.9,0.489,2.3,6,0.374,3.6,5.9,0.608,1.2,1.7,0.717,0.9,3,3.9,2.7,1,0.5,1.6,15.1,anunoog01
OG Anunoby,26,NYK,SF,23,23,34.9,5.4,11.1,0.488,1.8,4.5,0.394,3.7,6.6,0.553,1.5,1.9,0.791,1,3.4,4.4,1.5,1.7,1,1.7,14.1,anunoog01
Deni Avdija,23,WAS,SF,75,75,30.1,5.4,10.7,0.506,1.2,3.1,0.374,4.2,7.6,0.56,2.7,3.6,0.74,1.1,6.1,7.2,3.8,0.8,0.5,2.1,14.7,avdijde01
GG Jackson II,19,MEM,PF,48,18,25.7,5,11.7,0.428,2.1,6,0.357,2.9,5.8,0.502,2.4,3.2,0.752,1.1,3,4.1,1.2,0.6,0.5,1.4,14.6,jacksgg01
Bennedict Mathurin,21,IND,SF,59,19,26.1,5,11.2,0.446,1.4,3.6,0.374,3.7,7.6,0.481,3.1,3.8,0.821,1,2.9,4,2,0.6,0.2,1.6,14.5,mathube01
Marcus Smart,29,MEM,PG,20,20,30.3,5.1,11.9,0.43,2.1,6.7,0.313,3,5.2,0.583,2.2,2.8,0.768,0.3,2.4,2.7,4.3,2.1,0.3,3.1,14.5,smartma01
Tim Hardaway Jr.,31,DAL,SF,79,12,26.8,5,12.4,0.402,2.7,7.6,0.353,2.3,4.8,0.478,1.8,2.1,0.852,0.3,2.9,3.2,1.8,0.5,0.1,0.9,14.4,hardati02
Dennis Schröder,30,2TM,PG,80,58,31.1,5,11.6,0.435,1.7,4.6,0.375,3.3,7,0.474,2.2,2.7,0.836,0.5,2.5,3,6.1,0.8,0.2,1.9,14,schrode01
Dennis Schröder,30,TOR,PG,51,33,30.6,4.8,11,0.442,1.5,4.3,0.35,3.3,6.6,0.501,2.5,2.9,0.852,0.4,2.3,2.7,6.1,0.9,0.2,1.6,13.7,schrode01
Dennis Schröder,30,BRK,PG,29,25,32,5.4,12.7,0.424,2.1,5.1,0.412,3.3,7.6,0.432,1.8,2.2,0.797,0.6,2.9,3.5,6,0.6,0.3,2.4,14.6,schrode01
Rudy Gobert,31,MIN,C,76,76,34.1,5.3,8.1,0.661,0,0,0,5.3,8,0.664,3.3,5.1,0.638,3.8,9.2,12.9,1.3,0.7,2.1,1.6,14,goberru01
Scoot Henderson,19,POR,PG,62,32,28.5,5,12.9,0.385,1.4,4.3,0.325,3.5,8.5,0.416,2.7,3.3,0.819,0.9,2.3,3.1,5.4,0.8,0.2,3.4,14,hendesc01
Caris LeVert,29,CLE,SG,68,10,28.8,5.1,12.1,0.421,1.6,4.9,0.325,3.5,7.2,0.486,2.3,3,0.766,0.6,3.5,4.1,5.1,1.1,0.5,1.7,14,leverca01
Aaron Gordon,28,DEN,PF,73,73,31.5,5.5,9.8,0.556,0.5,1.9,0.29,4.9,7.9,0.619,2.4,3.7,0.658,2.4,4.1,6.5,3.5,0.8,0.6,1.4,13.9,gordoaa01
